No,Name,Formula,Atoms,Description,FunFact,FormationReason
11,"เกลือแกง (Table Salt)","NaCl","Na:1|Cl:1","นำโลหะไวไฟจัดอย่างโซเดียมมาจับคู่แก๊สพิษคลอรีน กลายเป็นเกลือแกงปรุงรสเลิศซะงั้น","สารอันตรายสองชนิดเมื่อสลับโครงสร้างแลกประจุเสถียร ก็เปลี่ยนร่างกลายเป็นของมีประโยชน์ได้","โซเดียมไอออนบวกรวมพลังดึงดูดคลอรีนไอออนลบด้วยพันธะไอออนิกเกิดผลึกโครงสร้างสามมิติแข็ง"
12,"ปูนขาวปรับสภาพดิน","CaO","Ca:1|O:1","ปูนขาวสีสะอาดตาใช้โรยปรับสภาพดินและน้ำที่เปรี้ยวเค็มให้กลับมาอุดมสมบูรณ์","เมื่อเทปูนขาวลงน้ำ จะคายความร้อนรุนแรงจนน้ำเดือดปุดๆ พวยพุ่งเป็นไอร้อนจัด","โลหะแคลเซียมบริจาคอิเล็กตรอน 2 ตัวให้ออกซิเจนเกิดโครงสร้างไอออนิกเสถียรสูง"
13,"แคลเซียมคลอไรด์กันชื้น","CaCl₂","Ca:1|Cl:2","เกลือเม็ดกลมยอดนักดูดชื้นที่ใส่ในห่อขนมเพื่อป้องกันอากาศชื้นทำให้ขนมหายกรอบ","ทางเมืองหนาวมักโรยสารนี้ละลายน้ำแข็งบนถนนเพราะมันช่วยลดจุดเยือกแข็งของน้ำ","แคลเซียมมอบอิเล็กตรอนให้คลอรีน 2 ตัว ผลึกไอออนิกพร้อมดูดโมเลกุลน้ำในอากาศเข้าช่องว่างผลึก"
14,"สนิมเหล็กผุกร่อน","Fe₂O₃","Fe:2|O:3","คราบแป้งสีแดงอมน้ำตาลที่กัดกินเนื้อเหล็กกล้าให้ผุพังเมื่อโดนความชื้นไอฝนบ่อยๆ","แม้จะทำให้โครงสร้างโลหะผุกร่อน แต่มันคือสีแดงธรรมชาติหลักที่ใช้ระบายภาพฝาผนังถ้ำโบราณ","เหล็กเสียอิเล็กตรอนให้ออกซิเจนในน้ำอากาศจนกลายเป็น Fe3+ รวมตัวออกไซด์ร่วนซุย"
15,"หินปูนสร้างปะการัง","CaCO₃","Ca:1|C:1|O:3","แร่หินปูนธรรมชาติหนาแน่นที่เป็นโครงสร้างหลักของชอล์กเขียนกระดานและเปลือกหอย","หากหยดน้ำส้มสายชูใส่หินปูน จะทำปฏิกิริยาสลายตัวเกิดแก๊สเดือดพองฟู่ฟ่าพุ่งกระจาย","แคลเซียมบวกสองดึงดูดคาร์บอเนตลบสองด้วยแรงประจุสูง ไม่ละลายน้ำเกิดโครงสร้างเปลือกแข็ง"
16,"เกลือคลอไรด์เหล็กสอง","FeCl₂","Fe:1|Cl:2","เกลือเหล็กเปลี่ยนผ่านสีเขียวอ่อนสวยงามใช้ในงานอุตสาหกรรมบำบัดน้ำเสีย","สีของเกลือนี้เกิดจากเหล็กซึ่งเป็นธาตุทรานซิชันเปลี่ยนประจุยืดหยุ่นแสดงสีสันในน้ำ","เหล็กส่งมอบอิเล็กตรอน 2 ตัวให้คลอรีน 2 ตัว เกิดพันธะไอออนิกที่สลับระดับพลังงานสีแสงได้"
17,"ผงฟูเบกกิ้งโซดา","NaHCO₃","Na:1|H:1|C:1|O:3","ผงปรุงสีขาวสำหรับใส่ในแป้งเค้กเพื่อดันเนื้อแป้งให้พองโตฟูนุ่มน่ารับประทาน","ความลับคือเมื่อได้รับความร้อนอบในเตา จะสลายตัวเร่งปล่อยแก๊สฟองดันเนื้อแป้งพองตัว","โซเดียมบวกจับกับไฮโดรเจนคาร์บอเนตลบ สลายตัวไวเมื่อโดนกรดหรือความร้อนคายก๊าซซ่า"
18,"โซดาแอชบำบัดน้ำ","Na₂CO₃","Na:2|C:1|O:3","เกลือโซเดียมคาร์บอเนตสำหรับใส่เพื่อดึงตะกอนน้ำกระด้างปรับน้ำให้ใสสะอาดในสระ","เป็นหนึ่งในวัตถุดิบโบราณที่นำไปต้มหลอมร่วมกับทรายแก้วด้วยความร้อนสูงเพื่อผลิตกระจก","โซเดียม 2 อะตอมสละประจุบวกให้คาร์บอเนตลบสอง ละลายน้ำได้ดีดึงจับโลหะอื่นตกตะกอน"
19,"เฟอร์ริกคลอไรด์กัดวงจร","FeCl₃","Fe:1|Cl:3","เกลือเหล็กสามสีเหลืองน้ำตาลเข้มข้นที่ช่างไฟฟ้าใช้เทกัดทองแดงเพื่อทำแผนวงจร","เมื่อผสมน้ำจะได้สารละลายสีส้มเข้มที่กัดกร่อนแผ่นโลหะทองแดงอย่างรวดเร็วเป็นพิเศษ","เหล็กให้ประจุกับคลอรีน 3 ตัว เกิดไอออน Fe3+ ประจุหนาแน่นสูงหิวโหยดึงอิเล็กตรอนทองแดง"
20,"แก๊สซัลเฟอร์ไตรออกไซด์","SO₃","S:1|O:3","แก๊สพิษควันสีขาวที่พวยพุ่งจากโรงงานเคมีและถ่านหิน ตัวสร้างปัญหาฝนกรด","เมื่อควันแก๊สนี้ลอยไปแตะละอองน้ำในก้อนเมฆจะรวมตัวกลายเป็นกรดกำมะถันตกใส่ป่าทันที","กำมะถันอะตอมกลางจับคู่แชร์อิเล็กตรอนร่วมกับออกซิเจน 3 ตัวอย่างสมบูรณ์แบบไม่ละเลยกฎ"
21,"แก๊สคาร์บอนมอนอกไซด์","CO","C:1|O:1","แก๊สไม่มีสีไม่มีกลิ่นที่เป็นภัยเงียบจากการเผาไหม้ไม่สมบูรณ์ของท่อไอเสียรถ","อันตรายมากเพราะหากสูดดมเข้าไปจะทำให้ง่วงซึมเนื่องจากแย่งจับเลือดเก่งกว่าออกซิเจน","คาร์บอนแชร์อิเล็กตรอนกับออกซิเจน 3 คู่รวมทั้งพันธะประสานพร้อมจับฮีโมโกลบินในเลือด"
22,"แก๊สไข่เน่าภูเขาไฟ","H₂S","H:2|S:1","แก๊สกลิ่นแสบเหม็นฉุนรุนแรงเหมือนไข่เน่าพังทลาย มักพบบริเวณดินโคลนหรือบ่อน้ำพุร้อน","แม้กลิ่นจะเหม็นมาก แต่ปริมาณจิ๋วช่วยควบคุมระบบประสาทและปรับสมดุลเลือดในร่างกายเรา","กำมะถันแชร์พันธะเดี่ยวกับไฮโดรเจน 2 อะตอมในมุมเฉียงคล้ายน้ำแต่ยืดหยุ่นและระเหยง่ายกว่า"
23,"แก๊สโพรเพนถัง LPG","C₃H₈","C:3|H:8","แก๊สหุงต้มสีใสบรรจุอัดความดันสูงในถังเหล็กเพื่อใช้งานสปาร์คปุ่มไฟในครัว","เมื่ออยู่ในถังเหล็กจะโดนบีบอัดจนแปรสภาพจากแก๊สเบาหวิวกลายเป็นของเหลวไหลไปมา","สายโซ่คาร์บอนต่อกันเดี่ยวๆ 3 ตัวล้อมรอบด้วยไฮโดรเจน 8 อะตอมโครงสร้างเสถียรติดไฟแรง"
24,"กรดน้ำส้มสายชู","C₂H₄O₂","C:2|H:4|O:2","กรดเปรี้ยวจี๊ดเหยาะชามก๋วยเตี๋ยวรสเด็ด ได้จากการหมักแป้งและผลไม้ด้วยยีสต์","ช่วยยับยั้งการเจริญเติบโตของเชื้อราจึงนิยมนำมาใช้เป็นน้ำยาดองผลไม้แสนอร่อย","มีหมู่กรดคาร์บอกซิล (-COOH) ยึดอยู่ปลายคาร์บอน ละลายน้ำแตกตัวคายฤทธิ์กรดเปรี้ยวเด่น"
25,"แก๊สหัวเราะดมสลบ","N₂O","N:2|O:1","แก๊สผ่อนคลายความเครียดสะกดประสาทในวงการแพทย์ช่วยให้ผู้ป่วยเคลิ้มหลับง่าย","วงการรถแข่งมักอัดแก๊สนี้เข้าเครื่องยนต์เพื่อเพิ่มแรงขับพุ่งทะยานด้วยความเร็วสูง","ไนโตรเจน 2 ตัวหันมาจับสลับแชร์กับออกซิเจน โครงสร้างเรโซแนนซ์สมมาตรเบาลอยแทรกประสาท"
26,"แก๊สซัลเฟอร์ไดออกไซด์","SO₂","S:1|O:2","แก๊สกลิ่นฉุนเปรี้ยวจัดเกิดจากการเผากำมะถัน ใช้ถนอมผลไม้อบแห้งไม่ให้เปลี่ยนสี","ช่วยป้องกันบ่มเนื้อเหลืองของเนื้อแอปเปิ้ลและกล้วยตากไม่ให้เกิดคราบราเน่าเสีย","กำมะถันแชร์อิเล็กตรอนกับออกซิเจนเกิดมุมงอ 120 องศา เหลือคู่อิสระพร้อมจับความชื้นถนอมเนื้อ"
27,"แก๊สไนโตรเจนไดออกไซด์","NO₂","N:1|O:2","แก๊สพิษควันสีน้ำตาลแดงแสบตาที่พบบ่อยบริเวณผืนฟ้าเหนือเมืองใหญ่ที่มีการจราจรหนาแน่น","เมื่อโดนแสงแดดกระตุ้นจะทำปฏิกิริยากับฝุ่นควันแปรสภาพเป็นหมอกพิษและฝนกรดทำลายป่า","ไนโตรเจนมีอิเล็กตรอนคี่เดี่ยวเหลืออยู่รอบนอกหลังจับออกซิเจน โครงสร้างไม่เสถียรแสบร้อนรวดเร็ว"
28,"ผลึกเกลือโซเดียมซัลเฟต","Na₂SO₄","Na:2|S:1|O:4","เกลือแร่สีขาวใช้ในอุตสาหกรรมผงซักฟอกเพื่อช่วยกระจายเม็ดแป้งละลายน้ำล้างคราบสกปรก","เมื่อเตรียมผลึกสารนี้ละลายน้ำ จะได้สภาพนำไฟฟ้าคงตัวยอดเยี่ยมใช้ในงานแบตเตอรี่ดิน","โซเดียม 2 ไอออนบวกยึดเกาะกับกลุ่มซัลเฟตประจุลบสองด้วยพันธะไอออนิกเรียงตัวแห้งหนาแน่น"
29,"แคลเซียมคาร์ไบด์แก๊สแกง","CaC₂","Ca:1|C:2","แร่ก้อนแข็งสีเทาเข้มที่ชาวสวนผลไม้ใช้บ่มกล้วย มะม่วงดิบให้สุกเหลืองสวยงาม","เมื่อโยนก้อนหินนี้ลงน้ำจะทำปฏิกิริยาปะทุเดือดเกิดก๊าซติดไฟระเบิดพุ่งพวยอย่างน่าทึ่ง","แคลเซียมไอออนยึดเหนี่ยวคาร์บอนไอออนลบพันธะสาม สลายตัวฉับพลันปล่อยแก๊สอะเซทิลีนร้อน"
30,"เกลือไอรอนสามซัลเฟต","Fe₂(SO₄)₃","Fe:2|S:3|O:12","เกลือแร่อุตสาหกรรมสีเหลืองแดง ใช้ในงานตกตะกอนปรับแต่งบำบัดน้ำใสในแม่น้ำอ่างเก็บน้ำ","ช่วยดึงคราบสิ่งสกปรกและโลหะพิษตกตะกอนจมก้นแม่น้ำได้อย่างมีประสิทธิภาพ","ไอออน Fe3+ สองก้อนเข้าคู่ไอออนิกกับซัลเฟตสามก้อน สร้างผลึกประจุสูงมากกัดสีดึงตกผลึกเก่ง"
31,"กรดน้ำส้มสายชูเจือจาง 1","C₂H₄O₂·H₂O","C:2|H:6|O:3","สูตรสารละลายน้ำส้มสายชูชนิดเบาบางที่มีน้ำปะปนอยู่ 1 โมเลกุลสำหรับการทำอาหารคลีน","ช่วยเพิ่มรสเปรี้ยวอ่อนๆ ละมุนลิ้นกลิ่นไม่ฉุนจนแสบคอเกินไปสำหรับปรุงน้ำสลัด","โมเลกุลน้ำ 1 ตัวทำพันธะไฮโดรเจนอุ้มหมู่คาร์บอกซิลของกรดน้ำส้มไว้ไม่ให้คายกรดเร็วเกินไป"
32,"โซดาไฟสูตรละลายน้ำ 1","NaOH·H₂O","Na:1|O:2|H:3","เบสโซดาไฟเจือจางที่มีน้ำจับเหนี่ยวแน่นอยู่ 1 ส่วนเพื่อป้องกันความร้อนจัดปะทุ","การเติมน้ำช่วยลดปฏิกิริยากัดกร่อนฉับพลันของแผ่นสังกะสีสบู่ทำให้ปรุงสารได้นุ่มมือขึ้น","โมเลกุลน้ำ 1 ตัวโอบล้อมประจุบวกลบของโซเดียมไฮดรอกไซด์ลดความไวของการกระจายตัว"
33,"แก๊สหัวเราะเจือจางน้ำ 1","N₂O·H₂O","N:2|O:2|H:2","แก๊สไนตรัสออกไซด์แปรสภาพรวมกับความชื้นน้ำ 1 ตัวเพื่อควบคุมเสถียรการระเบิด","ช่วยรักษาระดับความเย็นในถังเก็บแก๊สแรงดันสูงไม่ให้เกิดการขยายตัวฉับพลันระเบิดขึ้น","ขั้วลบของออกซิเจนในโมเลกุลน้ำจับคู่ดึงประจุขั้วบวกของแก๊สไนตรัสทำให้การเคลื่อนไหวช้าลง"
34,"เกลือแกงเหลวสูตรน้ำ 1","NaCl·H₂O","Na:1|Cl:1|H:2|O:1","น้ำผลึกของเกลือแกงโซเดียมคลอไรด์ที่มีน้ำจับตัวอยู่ในผลึก 1 อัตราส่วน","ในธรรมชาติพบบริเวณเหมืองเกลือใต้ดินที่มีไอน้ำสะสมแทรกตัวในผลึกแห้งสีสวย","โมเลกุลน้ำ 1 ตัววิ่งเข้ายึดเหนี่ยวในโครงสร้างตาข่ายไอออนิกของโซเดียมและคลอรีนแบบแห้ง"
35,"กรดเกลือผสมน้ำอ่อนๆ","HCl·H₂O","H:3|Cl:1|O:1","กรดไฮโดรคลอริกละลายน้ำในระดับความเข้มข้นสูงที่มีน้ำรวมอยู่ 1 โมเลกุล","ใช้กัดล้างพู่กันโลหะแปรธาตุในตำราเวทมนตร์เพื่อขจัดขี้ผงสนิมฝังแน่นลึก","โปรตอนจากกรดเกลือกระโดดไปฟอร์มตัวกับน้ำเป็นไอออน Hydronium (H3O+) จับกับคลอไรด์"
36,"แก๊สโอโซนสูตรเสถียรน้ำ","O₃·H₂O","O:4|H:2","แก๊สโอโซนปกป้องโลกที่มีโมเลกุลความชื้นรวมตัวอยู่ 1 ส่วนเพื่อรักษาความเสถียร","นิยมนำไปผ่านเครื่องผลิตเพื่อพ่นสเปรย์ฆ่าเชื้อกลิ่นอับในอากาศตู้เสื้อผ้ายาเกรดดี","น้ำดึงเหนี่ยวโครงสร้างเรโซแนนซ์ของโอโซนไว้ช่วยชะลอการสลายร่างกลับเป็นแก๊สออกซิเจน O2"
37,"น้ำสลัดปรุงรสเบกกิ้งโซดา","NaHCO₃·H₂O","Na:1|H:3|C:1|O:4","เบกกิ้งโซดาผงฟูสูตรความชื้นน้ำ 1 โมเลกุลเพื่อชะลอปฏิกิริยาการคายแก๊สก่อนอบจริง","ช่วยรักษาโครงสร้างผลึกผงฟูให้คงสภาพแห้งไม่ชื้นจับตัวเป็นก้อนแข็งเมื่อเก็บยาวนาน","โมเลกุลน้ำล้อมกรอบประจุบวกลบชะลอการดึงประจุจากโปรตอนภายนอกจนกว่าจะเข้าเตาอบร้อน"
38,"โซดาแอชสูตรคาร์บอเนตน้ำ 1","Na₂CO₃·H₂O","Na:2|C:1|O:4|H:2","ผลึกเกลือโซเดียมคาร์บอเนตโมโนไฮเดรตที่มีโมเลกุลน้ำรวมอยู่ในผลึก 1 ส่วน","พบในอุตสาหกรรมทำผงซักฟอกแบบแห้งเม็ดกลมที่ไม่จับตัวเป็นก้อนแข็งเมื่อโดนความชื้นอากาศ","โมเลกุลน้ำ 1 ตัวทำหน้าที่เป็นกาวประสานในช่องว่างโครงผลึกช่วยล็อกประจุให้แห้งคงตัว"
39,"เฟอร์ริกคลอไรด์สูตรน้ำ 1","FeCl₃·H₂O","Fe:1|Cl:3|H:2|O:1","เกลือเหล็กสามกัดกรดลายทองแดงที่มีโมเลกุลน้ำดึงยึดโครงสร้างเกลือไว้ 1 ตัว","ช่วยหน่วงความไวในการกัดแผ่นทองแดง ทำให้ขอบลายวงจรอิเล็กทรอนิกส์คมกริบไม่แหว่งหลุด","น้ำ 1 ตัวส่งอิเล็กตรอนแชร์พันธะโคออร์ดิเนตเพิ่มรอบไอออนเหล็ก Fe3+ ชะลอความไวปฏิกิริยา"
40,"แก๊สกำมะถันไตรออกไซด์ชื้น 1","SO₃·H₂O","S:1|O:4|H:2","ก๊าซซัลเฟอร์ไตรออกไซด์จับไอชื้นน้ำ 1 โมเลกุล ค่อยๆ แปรสภาพกลายเป็นหมอกกรด","เป็นขั้นตอนจำลองสัญญะของการเกิดฝนกรดในระดับไมโครก่อนสลายเป็นฝนตกสาดป่า","กำมะถันดึงออกซิเจนจากน้ำรวมกับแกนเดิมเกิดโครงสร้างซัลฟิวริกจับตัวคายฤทธิ์กรดฉับพลัน"
41,"แร่ยิปซัมปูนพลาสเตอร์","CaSO₄","Ca:1|S:1|O:4","แร่ยิปซัมธรรมชาติสีขาวนวลเนื้อละเอียด ใช้ทำปูนพลาสเตอร์หล่อโมเดลรูปปั้นสวยงาม","เมื่อผสมน้ำจะคืนตัวเกิดโครงผลึกขยายตัวแข็งคงรูปแกร่งเหมาะสำหรับงานหล่อเฝือกกระดูก","แคลเซียมสองบวกจับแน่นกับไอออนซัลเฟตลบสองเกิดโครงผลึกไอออนิกที่ไม่ละลายน้ำเกือบ 100%"
42,"แก๊สอาร์กอนแก๊สขี้เกียจ","Ar","Ar:1","แก๊สเฉื่อยไม่มีสีไม่มีกลิ่นที่ลอยปะปนในอากาศ นิยมนำมาบรรจุในหลอดไฟเรืองแสงวาว","ด้วยความเฉื่อยชาจัด ไม่ติดไฟและไม่ระเบิด จึงใช้กักเติมช่องว่างหน้าต่างกระจกสองชั้น","วงโคจรนอกสุดมีอิเล็กตรอนเต็ม 8 ตัวตามกฎออกเตตโดยธรรมชาติ ไม่ต้องการจับเพื่อนธาตุใดเลย"
43,"แร่วูลฟราไมต์เหล็กทังสเตน","FeWO₄","Fe:1|W:1|O:4","แร่อโลหะทรานซิชันสีดำสนิท แหล่งผลิตทังสเตนสำหรับทำไส้หลอดไฟสว่างร้อนรุนแรง","ทังสเตนมีจุดหลอมเหลวสูงที่สุดในบรรดาโลหะทั้งหมด ทนทานไฟเตาหลอมแปรธาตุเคมีได้เยี่ยม","เหล็กสองบวกจับกลุ่มพันธะไอออนิกกับไอออนลบทังสเตต เกิดผลึกแน่นหนักทนความร้อนสูงปรี๊ด"
44,"เกลือโพแทสเซียมคลอไรด์","KCl","K:1|Cl:1","เกลือแร่สีขาวรสเค็มต่ำ ใช้ปรุงรสอาหารสำหรับผู้ป่วยคุมโรคความดันโลหะเหลว","โพแทสเซียมเป็นสารอาหารสำคัญที่ระบบเซลล์ประสาทและกล้ามเนื้อหัวใจเราต้องการทำงาน","โพแทสเซียมสละประจุบวกให้คลอรีนลบ เกิดผลึกไอออนิกเค็มนำไฟฟ้าดีเลิศสลายเกรดต่ำ"
45,"น้ำแก๊สคลอรีนฆ่าเชื้อ","Cl₂","Cl:2","แก๊สคลอรีนสองอะตอมจับคู่กัน ใช้เติมบำบัดกำจัดเชื้อโรคสิ่งสกปรกในสระน้ำและน้ำประปา","กลิ่นฉุนกึกเฉพาะตัวของน้ำในสระว่ายน้ำ เกิดจากแก๊สคลอรีนทำลายย่อยสิ่งสกปรกสะสม","คลอรีนสองตัวขาดอิเล็กตรอนตัวละหนึ่ง จึงตกลงแชร์ร่วมกัน 1 คู่เกิดพันธะเดี่ยวเสถียรสีเหลืองเขียว"
46,"แก๊สฮีเลียมเบาลอยสูง","He","He:1","แก๊สเบาสุดน่ารักสำหรับอัดลูกโป่งสวรรค์ให้ลอยละล่องขึ้นสู่ฟ้านำส่งสารคำอธิษฐาน","ปลอดภัยกว่าแก๊สไฮโดรเจนมากเพราะฮีเลียมเป็นแก๊สเฉื่อยไม่ยอมจุดติดไฟระเบิดใดๆ","มีอิเล็กตรอนวงนอกเต็ม 2 ตัวในวงจรแรก เสถียรเสร็จสิ้นในตัวเองไม่จับคู่ใครเลยเสรีเวทมนตร์"
47,"เกลือลวงตาโพแทสเซียมไอโอไดด์","KI","K:1|I:1","เกลือแร่สำคัญใช้ทำน้ำยาไอโอดีนใส่แผลสด หรือเติมในเกลือแกงป้องกันโรคเอ๋อคอพอก","เมื่อผสมกับไฮโดรเจนเปอร์ออกไซด์และสบู่เหลว จะปะทุเดือดเกิดโฟมหนายักษ์พุ่งเหมือนยาสีฟันช้าง!","โพแทสเซียมส่งอิเล็กตรอนให้ไอโอดีนเกิดพันธะไอออนิกผลึกขาวละลายน้ำสูงคายไอโอดีนเร็ว"
48,"กรดฟอสฟอริกแก๊สโคล่า","H₃PO₄","H:3|P:1|O:4","กรดอ่อนที่มีกลิ่นหอมเฉพาะเหยาะใส่ในน้ำอัดลมโคล่ารสชาติดำมืดเพิ่มความเปรี้ยวซ่าสะใจ","นอกจากแต่งรสเครื่องดื่มแล้ว ยังนิยมนำมาใช้ทากัดพื้นผิวโลหะแรกลอกคราบสนิมเหล็กให้ใสกิ๊ก","ฟอสฟอรัสแชร์อิเล็กตรอนร่วมกับออกซิเจน 4 ตัวพ่วงด้วยโปรตอนไฮโดรเจน 3 แขนละลายน้ำดีหนืด"
49,"เกลือลิเทียมโครงแบตเตอรี่","LiCl","Li:1|Cl:1","เกลือแร่ผลึกขาวของลิเทียมคลอไรด์ ใช้ในวงการแปรธาตุเพื่อควบคุมความชื้นโรงงานใหญ่","ลิเทียมมีน้ำหนักอะตอมเบามาก ยอดนิยมนำมาพัฒนาเป็นแกนขั้วแบตเตอรี่ลิเทียมพลังงานสูง","ลิเทียมบริจาคอิเล็กตรอน 1 ตัวให้คลอรีนเกิดพันธะไอออนิกเสถียรเบาส่งประจุไฟฟ้าไวจัด"
50,"แร่ซัลไฟด์สังกะสีเรืองแสง","ZnS","Zn:1|S:1","แร่สังกะสีซัลไฟด์วิเศษสีขาวแกมเทาที่เคลือบฉากตรวจสแกนรังสีของเหล่านักวิทย์โบราณ","ความลับคือเมื่อแร่ก้อนนี้ได้รับแรงกระตุ้นจากรังสีหรือรังสี UV จะเปล่งแสงเรืองรองในที่มืดปุ๊บ!","สังกะสีสองบวกจับกลุ่มเกลือผลึกไอออนิกกับกำมะถันลบสองเกิดผลึกที่สลับชั้นแสงเรือง"
51,"ไฮโดรคาร์บอนแอลเคน: บิวเทน","C₄H₁₀","C:4|H:10","โมเลกุลแก๊สติดไฟง่ายใช้บรรจุอัดกระป๋องในปืนพ่นไฟครัวพกพา ปรุงคาร์บอน 4 ไฮโดรเจน 10","เป็นแก๊สที่ระเหยและแปลงร่างเป็นของแข็งเหลวไหลง่ายมากเมื่อบีบอัดภายใต้แรงดันสูง","คาร์บอน 4 ตัวจับกันเป็นแกนตรงเดี่ยวล้อมกรอบด้วยไฮโดรเจน 10 แขนเสถียรไม่เหนี่ยวน้ำ"
